198.41.209.120:443#HKG移动
198.41.208.155:443#HKG移动
198.41.208.112:443#HKG移动
198.41.209.112:443#HKG移动
198.41.208.41:443#HKG移动
198.41.209.120:443#HKG联通
198.41.208.155:443#HKG联通
198.41.208.112:443#HKG联通
198.41.209.112:443#HKG联通
198.41.208.41:443#HKG联通
104.17.3.138:443#SJC电信
198.41.222.51:443#SIN电信
104.16.192.22:443#SJC电信
104.19.126.160:443#SJC电信
104.18.3.49:443#NRT电信
